Time,ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Load [W],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_STORY1_CORE::Des Latent Heat Load [W],ZONE_STORY1_CORE::Des Latent Cool Load [W],ZONE_STORY1_CORE::Des Latent Heat Mass Flow [kg/s],ZONE_STORY1_CORE::Des Latent Cool Mass Flow [kg/s],ZONE_STORY1_CORE::Des Heat Load No DOAS [W],ZONE_STORY1_CORE::Des Sens Cool Load No DOAS [W],ZONE_STORY1_CORE::Des Latent Heat Load No DOAS [W],ZONE_STORY1_CORE::Des Latent Cool Load No DOAS [W],ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Load [W],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_STORY2_CORE::Des Latent Heat Load [W],ZONE_STORY2_CORE::Des Latent Cool Load [W],ZONE_STORY2_CORE::Des Latent Heat Mass Flow [kg/s],ZONE_STORY2_CORE::Des Latent Cool Mass Flow [kg/s],ZONE_STORY2_CORE::Des Heat Load No DOAS [W],ZONE_STORY2_CORE::Des Sens Cool Load No DOAS [W],ZONE_STORY2_CORE::Des Latent Heat Load No DOAS [W],ZONE_STORY2_CORE::Des Latent Cool Load No DOAS [W],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,2.115414E+03,5.594397E+02,1.036770E-01,4.570323E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749119E+01,2.599160E+01,5.615529E+01,1.659406E+03,6.323474E+02,8.134422E-02,5.165048E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976793E+01,2.599407E+01,4.993237E+01
00:20:00,2.115251E+03,5.485760E+02,1.036690E-01,4.481754E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749122E+01,2.599164E+01,5.636542E+01,1.659390E+03,6.176934E+02,8.134344E-02,5.045504E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976794E+01,2.599408E+01,5.011441E+01
00:30:00,2.115088E+03,5.379508E+02,1.036610E-01,4.395129E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749125E+01,2.599167E+01,5.657616E+01,1.659374E+03,6.034204E+02,8.134265E-02,4.929069E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976794E+01,2.599409E+01,5.029878E+01
00:40:00,2.114927E+03,5.273518E+02,1.036531E-01,4.308715E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749129E+01,2.599171E+01,5.678745E+01,1.659358E+03,5.893678E+02,8.134188E-02,4.814430E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976795E+01,2.599411E+01,5.048562E+01
00:50:00,2.114767E+03,5.171495E+02,1.036453E-01,4.225361E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749132E+01,2.599175E+01,5.699973E+01,1.659342E+03,5.757571E+02,8.134110E-02,4.703259E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976796E+01,2.599413E+01,5.067510E+01
01:00:00,2.114608E+03,5.071058E+02,1.036375E-01,4.143288E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749135E+01,2.599179E+01,5.721355E+01,1.659326E+03,5.624086E+02,8.134033E-02,4.594214E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976797E+01,2.599414E+01,5.086737E+01
01:10:00,2.114620E+03,4.973929E+02,1.036381E-01,4.063916E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749138E+01,2.599183E+01,5.742935E+01,1.659329E+03,5.494064E+02,8.134045E-02,4.487995E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976797E+01,2.599416E+01,5.106256E+01
01:20:00,2.114631E+03,4.879728E+02,1.036386E-01,3.986937E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749142E+01,2.599187E+01,5.764364E+01,1.659331E+03,5.367345E+02,8.134058E-02,4.384475E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976798E+01,2.599417E+01,5.125987E+01
01:30:00,2.114643E+03,4.788473E+02,1.036392E-01,3.912365E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749145E+01,2.599190E+01,5.785455E+01,1.659334E+03,5.243934E+02,8.134070E-02,4.283657E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976798E+01,2.599419E+01,5.145878E+01
01:40:00,2.114654E+03,4.700168E+02,1.036397E-01,3.840205E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749148E+01,2.599193E+01,5.806236E+01,1.659336E+03,5.123835E+02,8.134081E-02,4.185545E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976799E+01,2.599421E+01,5.165923E+01
01:50:00,2.114665E+03,4.614813E+02,1.036403E-01,3.770456E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749151E+01,2.599197E+01,5.826829E+01,1.659339E+03,5.007052E+02,8.134093E-02,4.090142E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976800E+01,2.599422E+01,5.186134E+01
02:00:00,2.114677E+03,4.532405E+02,1.036409E-01,3.703115E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749154E+01,2.599200E+01,5.847354E+01,1.659341E+03,4.893572E+02,8.134105E-02,3.997438E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976800E+01,2.599424E+01,5.206527E+01
02:10:00,2.114688E+03,4.452308E+02,1.036414E-01,3.637663E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749157E+01,2.599204E+01,5.867896E+01,1.659343E+03,4.783162E+02,8.134116E-02,3.907241E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976801E+01,2.599426E+01,5.227117E+01
02:20:00,2.114699E+03,4.374380E+02,1.036419E-01,3.573982E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749160E+01,2.599208E+01,5.888302E+01,1.659345E+03,4.675727E+02,8.134127E-02,3.819475E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976801E+01,2.599428E+01,5.247865E+01
02:30:00,2.114710E+03,4.298547E+02,1.036425E-01,3.512015E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749163E+01,2.599211E+01,5.908487E+01,1.659348E+03,4.571187E+02,8.134138E-02,3.734074E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976802E+01,2.599429E+01,5.268746E+01
02:40:00,2.114721E+03,4.224862E+02,1.036430E-01,3.451802E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749166E+01,2.599214E+01,5.928477E+01,1.659350E+03,4.469458E+02,8.134149E-02,3.650969E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976803E+01,2.599431E+01,5.289761E+01
02:50:00,2.114732E+03,4.153145E+02,1.036435E-01,3.393197E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749169E+01,2.599218E+01,5.948309E+01,1.659352E+03,4.370465E+02,8.134159E-02,3.570100E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976803E+01,2.599433E+01,5.310922E+01
03:00:00,2.114742E+03,4.083469E+02,1.036441E-01,3.336261E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749172E+01,2.599222E+01,5.968091E+01,1.659354E+03,4.274132E+02,8.134170E-02,3.491403E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976804E+01,2.599435E+01,5.332243E+01
03:10:00,2.114753E+03,4.015064E+02,1.036446E-01,3.280363E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749175E+01,2.599226E+01,5.987865E+01,1.659356E+03,4.180174E+02,8.134180E-02,3.414646E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976804E+01,2.599437E+01,5.353735E+01
03:20:00,2.114764E+03,3.947863E+02,1.036451E-01,3.225449E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749178E+01,2.599230E+01,6.007696E+01,1.659358E+03,4.088469E+02,8.134190E-02,3.339730E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976805E+01,2.599439E+01,5.375410E+01
03:30:00,2.114774E+03,3.881748E+02,1.036456E-01,3.171423E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749181E+01,2.599234E+01,6.027590E+01,1.659360E+03,3.998918E+02,8.134200E-02,3.266574E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976805E+01,2.599441E+01,5.397278E+01
03:40:00,2.114785E+03,3.816513E+02,1.036461E-01,3.118115E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749184E+01,2.599238E+01,6.047556E+01,1.659362E+03,3.911434E+02,8.134210E-02,3.195105E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976806E+01,2.599443E+01,5.419343E+01
03:50:00,2.114795E+03,3.752223E+02,1.036467E-01,3.065579E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749187E+01,2.599242E+01,6.067619E+01,1.659364E+03,3.825938E+02,8.134220E-02,3.125262E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976806E+01,2.599445E+01,5.441611E+01
04:00:00,2.114805E+03,3.688716E+02,1.036472E-01,3.013684E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749190E+01,2.599246E+01,6.087806E+01,1.659366E+03,3.742358E+02,8.134229E-02,3.056983E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976807E+01,2.599448E+01,5.464083E+01
04:10:00,2.114816E+03,3.626775E+02,1.036477E-01,2.963068E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749193E+01,2.599250E+01,6.108134E+01,1.659368E+03,3.660842E+02,8.134239E-02,2.990390E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976807E+01,2.599450E+01,5.486765E+01
04:20:00,2.114826E+03,3.566342E+02,1.036482E-01,2.913685E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749195E+01,2.599254E+01,6.128345E+01,1.659370E+03,3.581393E+02,8.134248E-02,2.925486E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976808E+01,2.599452E+01,5.509601E+01
04:30:00,2.114836E+03,3.507429E+02,1.036487E-01,2.865543E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749198E+01,2.599257E+01,6.148312E+01,1.659372E+03,3.503994E+02,8.134257E-02,2.862258E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976808E+01,2.599454E+01,5.532550E+01
04:40:00,2.114846E+03,3.450076E+02,1.036491E-01,2.818677E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749201E+01,2.599261E+01,6.168061E+01,1.659374E+03,3.428630E+02,8.134267E-02,2.800690E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976809E+01,2.599456E+01,5.555601E+01
04:50:00,2.114856E+03,3.394296E+02,1.036496E-01,2.773096E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999053E+01,4.749204E+01,2.599265E+01,6.187672E+01,1.659376E+03,3.355275E+02,8.134276E-02,2.740765E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999454E+01,4.976809E+01,2.599459E+01,5.578755E+01
