Time,ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Load [W],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_STORY1_CORE::Des Latent Heat Load [W],ZONE_STORY1_CORE::Des Latent Cool Load [W],ZONE_STORY1_CORE::Des Latent Heat Mass Flow [kg/s],ZONE_STORY1_CORE::Des Latent Cool Mass Flow [kg/s],ZONE_STORY1_CORE::Des Heat Load No DOAS [W],ZONE_STORY1_CORE::Des Sens Cool Load No DOAS [W],ZONE_STORY1_CORE::Des Latent Heat Load No DOAS [W],ZONE_STORY1_CORE::Des Latent Cool Load No DOAS [W],ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE_STORY1_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE_STORY1_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Load [W],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_STORY2_CORE::Des Latent Heat Load [W],ZONE_STORY2_CORE::Des Latent Cool Load [W],ZONE_STORY2_CORE::Des Latent Heat Mass Flow [kg/s],ZONE_STORY2_CORE::Des Latent Cool Mass Flow [kg/s],ZONE_STORY2_CORE::Des Heat Load No DOAS [W],ZONE_STORY2_CORE::Des Sens Cool Load No DOAS [W],ZONE_STORY2_CORE::Des Latent Heat Load No DOAS [W],ZONE_STORY2_CORE::Des Latent Cool Load No DOAS [W],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE_STORY2_CORE:KWANGJU HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE_STORY2_CORE:KWANGJU COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,3.013171E+03,1.020767E+03,1.476247E-01,8.344208E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529758E+01,2.598601E+01,5.624234E+01,3.332014E+03,6.496703E+02,1.632161E-01,5.310503E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440341E+01,2.598683E+01,6.356558E+01
00:20:00,3.013013E+03,1.000938E+03,1.476169E-01,8.182075E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529761E+01,2.598608E+01,5.644869E+01,3.332004E+03,6.261700E+02,1.632156E-01,5.118319E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440342E+01,2.598704E+01,6.398598E+01
00:30:00,3.012856E+03,9.815556E+02,1.476092E-01,8.023588E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529764E+01,2.598614E+01,5.665326E+01,3.331994E+03,6.034098E+02,1.632151E-01,4.932191E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440343E+01,2.598724E+01,6.440470E+01
00:40:00,3.012700E+03,9.626078E+02,1.476016E-01,7.868659E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529767E+01,2.598621E+01,5.685731E+01,3.331984E+03,5.813715E+02,1.632146E-01,4.751969E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440344E+01,2.598746E+01,6.482326E+01
00:50:00,3.012544E+03,9.440845E+02,1.475939E-01,7.717199E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529770E+01,2.598628E+01,5.706254E+01,3.331975E+03,5.600363E+02,1.632142E-01,4.577499E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440345E+01,2.598768E+01,6.524371E+01
01:00:00,3.012390E+03,9.259759E+02,1.475864E-01,7.569132E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529773E+01,2.598635E+01,5.727001E+01,3.331965E+03,5.393857E+02,1.632137E-01,4.408631E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440346E+01,2.598790E+01,6.566740E+01
01:10:00,3.012402E+03,9.084196E+02,1.475870E-01,7.425579E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529776E+01,2.598643E+01,5.748009E+01,3.331969E+03,5.195500E+02,1.632139E-01,4.246429E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440347E+01,2.598813E+01,6.609497E+01
01:20:00,3.012415E+03,8.913833E+02,1.475876E-01,7.286280E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529779E+01,2.598649E+01,5.768618E+01,3.331973E+03,5.005240E+02,1.632141E-01,4.090850E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440348E+01,2.598833E+01,6.651494E+01
01:30:00,3.012427E+03,8.748714E+02,1.475882E-01,7.151270E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529782E+01,2.598654E+01,5.788632E+01,3.331977E+03,4.822988E+02,1.632143E-01,3.941823E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440349E+01,2.598852E+01,6.692325E+01
01:40:00,3.012439E+03,8.588836E+02,1.475888E-01,7.020545E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.998353E+01,4.529785E+01,2.598661E+01,5.808271E+01,3.331981E+03,4.648622E+02,1.632145E-01,3.799247E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.997989E+01,4.440349E+01,2.598872E+01,6.732283E+01
