Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5970639.586780662,0.0,10956158.967714954,0.0
 01/01  00:20:00,6046032.423032502,0.0,11073425.038588123,0.0
 01/01  00:30:00,6126105.309845725,0.0,11196030.174599247,0.0
 01/01  00:40:00,6206351.418548045,0.0,11319145.698008424,0.0
 01/01  00:50:00,6286795.727697891,0.0,11442324.949607236,0.0
 01/01  01:00:00,6367553.87216055,0.0,11565580.045045173,0.0
 01/01  01:10:00,6541288.5937369745,0.0,11843406.374645257,0.0
 01/01  01:20:00,6717679.112984957,0.0,12125042.94085651,0.0
 01/01  01:30:00,6895433.394993347,0.0,12408791.623869745,0.0
 01/01  01:40:00,7074251.332714261,0.0,12694308.047376633,0.0
 01/01  01:50:00,7254021.930749763,0.0,12981396.236083407,0.0
 01/01  02:00:00,7434690.886934597,0.0,13269946.17762969,0.0
 01/01  02:10:00,7575192.763376263,0.0,13494763.750561802,0.0
 01/01  02:20:00,7715018.605699894,0.0,13718815.489546938,0.0
 01/01  02:30:00,7854941.995139753,0.0,13943024.484128617,0.0
 01/01  02:40:00,7995203.4741529245,0.0,14167721.837165156,0.0
 01/01  02:50:00,8137846.743192513,0.0,14392019.805457147,0.0
 01/01  03:00:00,8279052.556436657,0.0,14617603.621067625,0.0
 01/01  03:10:00,8370904.787691487,0.0,14765134.312708057,0.0
 01/01  03:20:00,8460185.509106698,0.0,14909851.25136365,0.0
 01/01  03:30:00,8548862.079296231,0.0,15053782.206737095,0.0
 01/01  03:40:00,8637389.373989023,0.0,15197490.608659016,0.0
 01/01  03:50:00,8725903.904825613,0.0,15341172.68814642,0.0
 01/01  04:00:00,8814457.798308486,0.0,15484917.17020949,0.0
 01/01  04:10:00,8878295.737111758,0.0,15589746.067298248,0.0
 01/01  04:20:00,8941831.154062351,0.0,15693952.01601539,0.0
 01/01  04:30:00,9005227.110864207,0.0,15797925.177317325,0.0
 01/01  04:40:00,9068556.94204973,0.0,15901788.456404235,0.0
 01/01  04:50:00,9131858.908482624,0.0,16005607.27854225,0.0
 01/01  05:00:00,9195153.163153663,0.0,16109419.567877557,0.0
 01/01  05:10:00,9257727.086189117,0.0,16212545.027327262,0.0
 01/01  05:20:00,9320256.67276213,0.0,16315607.468645927,0.0
 01/01  05:30:00,9382768.669105815,0.0,16418658.816175712,0.0
 01/01  05:40:00,9445276.306509394,0.0,16521716.15926804,0.0
 01/01  05:50:00,9507787.343831224,0.0,16624787.985263564,0.0
 01/01  06:00:00,9570306.698992897,0.0,16727878.746666603,0.0
 01/01  06:10:00,9560198.225679025,0.0,16718495.98277025,0.0
 01/01  06:20:00,9548768.352750754,0.0,16706646.89204833,0.0
 01/01  06:30:00,9536940.734859083,0.0,16693723.490673702,0.0
 01/01  06:40:00,9524617.331518715,0.0,16680298.7461658,0.0
 01/01  06:50:00,9511899.70900187,0.0,16666136.392413722,0.0
 01/01  07:00:00,9498959.503524778,0.0,16651428.24362104,0.0
 01/01  07:10:00,9528187.52223988,0.0,16702449.54145729,0.0
 01/01  07:20:00,9558705.6351112,0.0,16755271.090999957,0.0
 01/01  07:30:00,9588827.242295418,0.0,16807646.84887857,0.0
 01/01  07:40:00,9619218.952089122,0.0,16860456.984058615,0.0
 01/01  07:50:00,9533423.772620693,0.0,16771589.107523028,0.0
 01/01  08:00:00,9490130.255978003,0.0,16720456.379434323,0.0
 01/01  08:10:00,9453800.671903392,0.0,16675626.896699514,0.0
 01/01  08:20:00,9426476.063699812,0.0,16640394.69898053,0.0
 01/01  08:30:00,9401933.251635887,0.0,16608483.23813982,0.0
 01/01  08:40:00,9269526.138607139,0.0,16441564.974692116,0.0
 01/01  08:50:00,9138633.234778723,0.0,16259480.972174209,0.0
 01/01  09:00:00,9011403.124349877,0.0,16075015.271754293,0.0
 01/01  09:10:00,8670332.315566542,0.0,15556808.632562058,0.0
 01/01  09:20:00,8358025.83368774,0.0,15063958.701287251,0.0
 01/01  09:30:00,8058832.877009398,0.0,14584851.648599084,0.0
 01/01  09:40:00,7791446.72651071,0.0,14144018.655384524,0.0
 01/01  09:50:00,7536401.577154434,0.0,13719480.282128833,0.0
 01/01  10:00:00,7290024.109009538,0.0,13303565.959719552,0.0
 01/01  10:10:00,7047634.389062376,0.0,12895043.841617262,0.0
 01/01  10:20:00,6772504.602294216,0.0,12454274.717104042,0.0
 01/01  10:30:00,6526045.916323681,0.0,12042077.846223082,0.0
 01/01  10:40:00,6307788.120922495,0.0,11667974.487907054,0.0
 01/01  10:50:00,6101232.496471926,0.0,11313501.17832309,0.0
