Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5950850.826641942,0.0,10940853.563817512,0.0
 01/01  00:20:00,6026322.330638167,0.0,11058186.294519713,0.0
 01/01  00:30:00,6106459.7918520225,0.0,11180900.708985016,0.0
 01/01  00:40:00,6186768.867875999,0.0,11304123.785526097,0.0
 01/01  00:50:00,6267275.0440683365,0.0,11427416.16226243,0.0
 01/01  01:00:00,6348099.100762346,0.0,11550781.781143101,0.0
 01/01  01:10:00,6521869.820317158,0.0,11828752.460600037,0.0
 01/01  01:20:00,6698297.845811063,0.0,12110528.813542342,0.0
 01/01  01:30:00,6876088.45409366,0.0,12394420.94412718,0.0
 01/01  01:40:00,7054942.101108775,0.0,12680079.305210171,0.0
 01/01  01:50:00,7234748.166812679,0.0,12967307.576865945,0.0
 01/01  02:00:00,7415452.603182782,0.0,13255995.613754092,0.0
 01/01  02:10:00,7555998.6682692375,0.0,13480956.637157897,0.0
 01/01  02:20:00,7695870.018596526,0.0,13705151.389111185,0.0
 01/01  02:30:00,7835839.807394432,0.0,13929501.626216538,0.0
 01/01  02:40:00,7976148.31725794,0.0,14154338.193766316,0.0
 01/01  02:50:00,8118832.594863807,0.0,14378760.256634263,0.0
 01/01  03:00:00,8260086.114247683,0.0,14604473.233481416,0.0
 01/01  03:10:00,8351994.273221413,0.0,14752123.77854816,0.0
 01/01  03:20:00,8441334.965258526,0.0,14896958.74762713,0.0
 01/01  03:30:00,8530073.08546746,0.0,15041005.394547546,0.0
 01/01  03:40:00,8618662.809489788,0.0,15184827.252419626,0.0
 01/01  03:50:00,8707240.434768964,0.0,15328620.650064629,0.0
 01/01  04:00:00,8795857.989658952,0.0,15472474.386457097,0.0
 01/01  04:10:00,8859763.761272253,0.0,15577412.454127626,0.0
 01/01  04:20:00,8923368.425636483,0.0,15681726.166956356,0.0
 01/01  04:30:00,8986834.194327705,0.0,15785805.248878073,0.0
 01/01  04:40:00,9050234.27020563,0.0,15889772.592663912,0.0
 01/01  04:50:00,9113606.842921227,0.0,15993693.649185456,0.0
 01/01  05:00:00,9176972.011511786,0.0,16097606.373716861,0.0
 01/01  05:10:00,9239616.934568956,0.0,16200832.348230435,0.0
 01/01  05:20:00,9302217.827944638,0.0,16303993.79761379,0.0
 01/01  05:30:00,9364801.322601423,0.0,16407142.547745543,0.0
 01/01  05:40:00,9427380.617708007,0.0,16510295.688152906,0.0
 01/01  05:50:00,9489963.446863934,0.0,16613461.722684683,0.0
 01/01  06:00:00,9552554.70523054,0.0,16716645.126433747,0.0
 01/01  06:10:00,9542523.885178372,0.0,16707375.494352106,0.0
 01/01  06:20:00,9531175.108497854,0.0,16695645.977716034,0.0
 01/01  06:30:00,9519430.728477122,0.0,16682840.7971108,0.0
 01/01  06:40:00,9507188.397999713,0.0,16669533.336567817,0.0
 01/01  06:50:00,9494554.141048657,0.0,16655483.568487052,0.0
 01/01  07:00:00,9481695.280043418,0.0,16640708.966435438,0.0
 01/01  07:10:00,9510998.484547062,0.0,16691743.448640132,0.0
 01/01  07:20:00,9541594.413438626,0.0,16744853.286275093,0.0
 01/01  07:30:00,9571791.350699576,0.0,16797372.690002188,0.0
 01/01  07:40:00,9602260.265909577,0.0,16850301.75449217,0.0
 01/01  07:50:00,9513008.539303256,0.0,16757706.432212694,0.0
 01/01  08:00:00,9470776.979596417,0.0,16706542.15560767,0.0
 01/01  08:10:00,9433625.494489634,0.0,16661897.9509398,0.0
 01/01  08:20:00,9405883.11105901,0.0,16626518.153460542,0.0
 01/01  08:30:00,9380685.359948374,0.0,16594101.746902127,0.0
 01/01  08:40:00,9246553.67187997,0.0,16425205.098298753,0.0
 01/01  08:50:00,9113726.412168127,0.0,16240676.527253982,0.0
 01/01  09:00:00,8984371.859504618,0.0,16053388.941709865,0.0
 01/01  09:10:00,8641177.610116536,0.0,15532121.86671086,0.0
 01/01  09:20:00,8326749.482949176,0.0,15036551.638912342,0.0
 01/01  09:30:00,8025403.528731529,0.0,14554842.357505854,0.0
 01/01  09:40:00,7756130.199211562,0.0,14111691.704001073,0.0
 01/01  09:50:00,7499266.54180058,0.0,13684898.723104129,0.0
 01/01  10:00:00,7251319.781107411,0.0,13266732.642332677,0.0
