Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),BIPV_OFFICE_1:Zone Lights Electricity Energy [J](TimeStep),BIPV_OFFICE_2:Zone Lights Electricity Energy [J](TimeStep),BIPV_OFFICE_1:Zone Electric Equipment Electricity Energy [J](TimeStep),BIPV_OFFICE_2:Zone Electric Equipment Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Produced Electricity Energy [J](TimeStep),BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep),BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep),SMALLOFFICE BUILDING_SERVICE HOT WATER..BIPV_OFFICE_1:Water Use Equipment Heating Energy [J](TimeStep),SMALLOFFICE BUILDING_SERVICE HOT WATER..BIPV_OFFICE_2:Water Use Equipment Heating Energy [J](TimeStep),SHW PUMP:Pump Electricity Energy [J](TimeStep) 
 01/01  00:10:00,3.1833333333333336,0.0,0.0,26.61157980815053,-76.72846347276132,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,4981627.097945146,0.0,10188156.861942114,0.0,0.0,0.0,0.0 
 01/01  00:20:00,3.066666666666667,0.0,0.0,16.867135129187737,-77.48780346482245,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5074265.529766708,0.0,10324981.282047575,0.0,0.0,0.0,0.0 
 01/01  00:30:00,2.95,0.0,0.0,6.235503249215634,-77.89858187904859,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5166350.906395326,0.0,10462938.408594742,0.0,0.0,0.0,0.0 
 01/01  00:40:00,2.8333333333333335,0.0,0.0,4.761167892771772,-77.9249811346772,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5259650.931402199,0.0,10601093.65659505,0.0,0.0,0.0,0.0 
 01/01  00:50:00,2.716666666666667,0.0,0.0,15.477158471383056,-77.56454126542683,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5353066.789905401,0.0,10739123.084125565,0.0,0.0,0.0,0.0 
 01/01  01:00:00,2.6,0.0,0.0,25.362808133681416,-76.84918476484825,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5446605.947141176,0.0,10876621.14987878,0.0,0.0,0.0,0.0 
 01/01  01:10:00,2.266666666666667,0.0,0.0,34.11261763308934,-75.83286842377169,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5630034.885748392,0.0,11166295.68932633,0.0,0.0,0.0,0.0 
 01/01  01:20:00,1.9333333333333336,0.0,0.0,41.66388669376494,-74.57538018761117,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,5815231.677609432,0.0,11458480.29793354,0.0,0.0,0.0,0.0 
 01/01  01:30:00,1.6,0.0,0.0,48.1082055176114,-73.13107633834325,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,6001555.465032218,0.0,11752313.122774698,0.0,0.0,0.0,0.0 
 01/01  01:40:00,1.2666666666666668,0.0,0.0,53.60174409859612,-71.54435059348567,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,6188888.768624184,0.0,12047656.045306034,0.0,0.0,0.0,0.0 
 01/01  01:50:00,0.9333333333333332,0.0,0.0,58.309239127831,-69.84947011754568,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,6377161.696877093,0.0,12344394.974098412,0.0,0.0,0.0,0.0 
 01/01  02:00:00,0.6,0.0,0.0,62.37851927168885,-68.07220463407376,428977.05128656357,428977.05128656357,367950.99609018746,367950.99609018746,1593856.0947535022,0.0,6566327.677911367,0.0,12642454.664878968,0.0,0.0,0.0,0.0 
