Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5879935.778426873,0.0,10878968.836885314,0.0
 01/01  00:20:00,5956538.152031418,0.0,10998281.019050648,0.0
 01/01  00:30:00,6037452.536930278,0.0,11122552.252664749,0.0
 01/01  00:40:00,6118533.670189007,0.0,11247291.41745014,0.0
 01/01  00:50:00,6199786.433448503,0.0,11372069.396804493,0.0
 01/01  01:00:00,6281354.888760139,0.0,11496865.82748102,0.0
 01/01  01:10:00,6455365.920366114,0.0,11775861.935544716,0.0
 01/01  01:20:00,6632038.473667754,0.0,12058604.40837538,0.0
 01/01  01:30:00,6810057.933166257,0.0,12343445.366702752,0.0
 01/01  01:40:00,6989134.192487764,0.0,12630028.90209758,0.0
 01/01  01:50:00,7169160.773849125,0.0,12918162.873714719,0.0
 01/01  02:00:00,7350085.691962666,0.0,13207739.535135362,0.0
 01/01  02:10:00,7490859.527323954,0.0,13433552.07388938,0.0
 01/01  02:20:00,7630957.5633931365,0.0,13658577.82448548,0.0
 01/01  02:30:00,7771156.205228244,0.0,13883742.856369117,0.0
 01/01  02:40:00,7911695.512256613,0.0,14109379.405603653,0.0
 01/01  02:50:00,8054413.888889882,0.0,14334698.099591888,0.0
 01/01  03:00:00,8195897.78388799,0.0,14561233.362324765,0.0
 01/01  03:10:00,8288136.684570913,0.0,14709769.769468307,0.0
 01/01  03:20:00,8377828.30778579,0.0,14855486.085476309,0.0
 01/01  03:30:00,8466927.534686176,0.0,15000405.795982204,0.0
 01/01  03:40:00,8555883.363465479,0.0,15145090.066590723,0.0
 01/01  03:50:00,8644830.399358295,0.0,15289734.52270714,0.0
 01/01  04:00:00,8733819.941213975,0.0,15434427.77194807,0.0
 01/01  04:10:00,8798112.5372129,0.0,15540195.80728295,0.0
 01/01  04:20:00,8862107.595899453,0.0,15645326.733153516,0.0
 01/01  04:30:00,8925965.649393814,0.0,15750211.009794682,0.0
 01/01  04:40:00,8989759.460247329,0.0,15854971.791061705,0.0
 01/01  04:50:00,9053526.928045508,0.0,15959674.698255518,0.0
 01/01  05:00:00,9117287.923000704,0.0,16064357.850507773,0.0
 01/01  05:10:00,9180312.866544215,0.0,16168328.03005505,0.0
 01/01  05:20:00,9243293.627833433,0.0,16272220.942766646,0.0
 01/01  05:30:00,9306256.840554865,0.0,16376089.446070265,0.0
 01/01  05:40:00,9369215.753458476,0.0,16479951.070783718,0.0
 01/01  05:50:00,9432178.082021827,0.0,16583814.62731228,0.0
 01/01  06:00:00,9495148.666874468,0.0,16687684.838137621,0.0
 01/01  06:10:00,9485366.105122989,0.0,16678939.768880475,0.0
 01/01  06:20:00,9474405.699944643,0.0,16667867.891347045,0.0
 01/01  06:30:00,9462890.237864325,0.0,16655618.310848663,0.0
 01/01  06:40:00,9450859.139655383,0.0,16642581.767029993,0.0
 01/01  06:50:00,9438483.721780593,0.0,16628935.788886385,0.0
 01/01  07:00:00,9425831.354210822,0.0,16614748.99547737,0.0
 01/01  07:10:00,9455514.798609817,0.0,16666322.560150748,0.0
 01/01  07:20:00,9486161.137158869,0.0,16719705.209266536,0.0
 01/01  07:30:00,9516810.56836222,0.0,16772630.222702434,0.0
 01/01  07:40:00,9547381.164542414,0.0,16825980.422757287,0.0
 01/01  07:50:00,9436306.864867408,0.0,16705955.574779768,0.0
 01/01  08:00:00,9384432.096006224,0.0,16640690.147482656,0.0
 01/01  08:10:00,9343938.036869423,0.0,16587369.845858827,0.0
 01/01  08:20:00,9315780.87979146,0.0,16550171.49433038,0.0
 01/01  08:30:00,9291586.006499225,0.0,16517124.153294524,0.0
 01/01  08:40:00,9135851.218545455,0.0,16319180.946370147,0.0
 01/01  08:50:00,8986223.214733884,0.0,16107954.628997415,0.0
 01/01  09:00:00,8842318.877489282,0.0,15896160.278906249,0.0
 01/01  09:10:00,8479786.194648568,0.0,15343477.492126724,0.0
 01/01  09:20:00,8155004.888050086,0.0,14826204.343738103,0.0
 01/01  09:30:00,7847742.281287108,0.0,14328810.610994192,0.0
 01/01  09:40:00,7577461.20793172,0.0,13877113.9687771,0.0
 01/01  09:50:00,7322117.011929624,0.0,13445419.010270968,0.0
 01/01  10:00:00,7077475.677644407,0.0,13024945.785558227,0.0
 01/01  10:10:00,6836043.037345413,0.0,12614616.064968446,0.0
 01/01  10:20:00,6560651.292228571,0.0,12168272.417457396,0.0
 01/01  10:30:00,6318708.839514327,0.0,11748420.705050433,0.0
 01/01  10:40:00,6088625.867309632,0.0,11366952.329849422,0.0
 01/01  10:50:00,5872583.020795811,0.0,11004912.728909114,0.0
 01/01  11:00:00,5663547.170253157,0.0,10654805.393262513,0.0
 01/01  11:10:00,5460573.999102606,0.0,10314840.843671149,0.0
 01/01  11:20:00,5264980.841805317,0.0,9983921.12701849,0.0
 01/01  11:30:00,5079128.608824269,0.0,9661344.615187336,0.0
 01/01  11:40:00,4938994.138917674,0.0,9393691.916045533,0.0
 01/01  11:50:00,4779788.187821043,0.0,9116360.428691879,0.0
 01/01  12:00:00,4613406.442156992,0.0,8836723.465525191,0.0
 01/01  12:10:00,4553037.85428013,0.0,8734752.188954331,0.0
 01/01  12:20:00,4496479.707217866,0.0,8635373.166916756,0.0
 01/01  12:30:00,4441014.194630744,0.0,8537909.711324522,0.0
 01/01  12:40:00,4404308.265286571,0.0,8466629.067608766,0.0
 01/01  12:50:00,4356751.505894255,0.0,8385230.05227887,0.0
 01/01  13:00:00,4308888.068964964,0.0,8299297.197326118,0.0
 01/01  13:10:00,4269434.856882866,0.0,8223107.3834240325,0.0
 01/01  13:20:00,4233725.299879532,0.0,8148535.497151019,0.0
 01/01  13:30:00,4200481.762753276,0.0,8076571.294517927,0.0
 01/01  13:40:00,4179198.703294321,0.0,8024375.650490146,0.0
 01/01  13:50:00,4165791.8346094894,0.0,7986684.998668372,0.0
 01/01  14:00:00,4158251.6122049023,0.0,7959976.327376654,0.0
 01/01  14:10:00,4150602.8675310514,0.0,7934057.445533696,0.0
 01/01  14:20:00,4147282.239786854,0.0,7916480.588105926,0.0
 01/01  14:30:00,4167776.1388664832,0.0,7934375.826439991,0.0
 01/01  14:40:00,4178726.120609762,0.0,7943265.577352652,0.0
 01/01  14:50:00,4189492.284416659,0.0,7951863.94951151,0.0
 01/01  15:00:00,4202706.22282523,0.0,7964757.487926437,0.0
 01/01  15:10:00,4274902.617991027,0.0,8068576.853892789,0.0
 01/01  15:20:00,4351442.483650435,0.0,8178977.943227505,0.0
 01/01  15:30:00,4430928.826194966,0.0,8291359.664704432,0.0
 01/01  15:40:00,4506452.307572741,0.0,8404906.335163359,0.0
 01/01  15:50:00,4592218.364396647,0.0,8521159.673032867,0.0
 01/01  16:00:00,4682040.070248706,0.0,8643492.986856377,0.0
 01/01  16:10:00,4772577.948772021,0.0,8768510.275959544,0.0
 01/01  16:20:00,4864150.997119626,0.0,8895574.656261582,0.0
 01/01  16:30:00,4957404.196626787,0.0,9026232.997071989,0.0
 01/01  16:40:00,5020316.391908567,0.0,9120936.151198763,0.0
 01/01  16:50:00,5074167.694939813,0.0,9202448.12432431,0.0
 01/01  17:00:00,5125373.794561275,0.0,9280361.373781484,0.0
 01/01  17:10:00,5173515.371004088,0.0,9354771.433973808,0.0
 01/01  17:20:00,5220802.5503643295,0.0,9428721.859291747,0.0
 01/01  17:30:00,5270918.453472862,0.0,9508003.361502275,0.0
 01/01  17:40:00,5301026.293542862,0.0,9562862.63745827,0.0
 01/01  17:50:00,5324402.995043505,0.0,9609506.763447396,0.0
 01/01  18:00:00,5341742.080838634,0.0,9647573.013355015,0.0
 01/01  18:10:00,5370093.805896425,0.0,9700940.786732502,0.0
 01/01  18:20:00,5397638.197306049,0.0,9753212.245211078,0.0
 01/01  18:30:00,5425098.1820454355,0.0,9805210.521736357,0.0
 01/01  18:40:00,5452392.269765399,0.0,9857025.15358703,0.0
 01/01  18:50:00,5479508.740929522,0.0,9908709.515389262,0.0
 01/01  19:00:00,5506451.708712472,0.0,9960290.481282048,0.0
 01/01  19:10:00,5523582.032313599,0.0,9997313.445336614,0.0
 01/01  19:20:00,5540770.818609093,0.0,10034654.6295292,0.0
 01/01  19:30:00,5557579.094450991,0.0,10071516.223598,0.0
 01/01  19:40:00,5574155.985414181,0.0,10108074.511885813,0.0
 01/01  19:50:00,5590531.707377518,0.0,10144350.408689074,0.0
 01/01  20:00:00,5606729.496716036,0.0,10180354.436344719,0.0
 01/01  20:10:00,5632033.978344272,0.0,10230136.118565334,0.0
 01/01  20:20:00,5657188.255793443,0.0,10279676.780690009,0.0
 01/01  20:30:00,5681998.261512002,0.0,10328825.698619878,0.0
 01/01  20:40:00,5706629.194308874,0.0,10377657.761826824,0.0
 01/01  20:50:00,5731128.493917232,0.0,10426178.660444362,0.0
 01/01  21:00:00,5755433.859422509,0.0,10474828.45534036,0.0
 01/01  21:10:00,5761252.800791384,0.0,10494506.051924625,0.0
 01/01  21:20:00,5767136.498486564,0.0,10513960.2158452,0.0
 01/01  21:30:00,5773307.704501595,0.0,10533188.763861395,0.0
 01/01  21:40:00,5779427.719430919,0.0,10552063.826055875,0.0
 01/01  21:50:00,5785460.735826189,0.0,10570560.451057713,0.0
 01/01  22:00:00,5791394.159334242,0.0,10588675.580524309,0.0
 01/01  22:10:00,5796531.409947568,0.0,10606028.045201508,0.0
 01/01  22:20:00,5800895.617325419,0.0,10622029.222135166,0.0
 01/01  22:30:00,5804907.318014553,0.0,10637335.23067419,0.0
 01/01  22:40:00,5808726.474195467,0.0,10652105.502649115,0.0
 01/01  22:50:00,5812405.01639305,0.0,10666412.96677541,0.0
 01/01  23:00:00,5815962.325548907,0.0,10680290.473233689,0.0
 01/01  23:10:00,5825523.126960564,0.0,10700657.045821168,0.0
 01/01  23:20:00,5831346.370446365,0.0,10716704.43771522,0.0
 01/01  23:30:00,5837484.313294018,0.0,10732765.000327302,0.0
 01/01  23:40:00,5843808.455955769,0.0,10748434.175893342,0.0
 01/01  23:50:00,5849722.959269302,0.0,10763817.090741275,0.0
 01/01  24:00:00,5855477.391379564,0.0,10778812.868893301,0.0
 01/02  00:10:00,5554756.951677942,0.0,10477794.47961494,0.0
 01/02  00:20:00,5544940.459859425,0.0,10469546.849561386,0.0
 01/02  00:30:00,5545185.652282179,0.0,10474855.15262681,0.0
 01/02  00:40:00,5548704.6141243875,0.0,10484466.688142471,0.0
 01/02  00:50:00,5553393.178601776,0.0,10495623.796447124,0.0
 01/02  01:00:00,5558572.623076027,0.0,10507415.595754717,0.0
 01/02  01:10:00,5555405.060012377,0.0,10505917.613833178,0.0
 01/02  01:20:00,5552238.29870428,0.0,10504195.172640964,0.0
 01/02  01:30:00,5549248.266557781,0.0,10502508.156079652,0.0
