Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,γPmax,αIsc,βVoc,αIpmax,βVpmax,"IPmax, low","VPmax, low","IPmax, NOCT","VPmax, NOCT",Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STC_Efficiency
CertainTeed,Apollo II - 67,"67 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,67,60.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.42,14,1,Y,9.34,9.4,8.90,7.6,48.5,-0.373,0.048,-0.275,,,1.77,7.50,7.14,6.9,,,,,,,2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95%
CertainTeed,Apollo Tile II - 67,"67 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,67,61.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.42,14,1,Y,9.34,9.4,8.90,7.6,47.7,-0.373,0.048,-0.275,,,1.77,7.50,7.14,6.9,,,,,,,2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95%
CertainTeed,Apollo II - 70x,"70 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,70,59.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.53,14,1,Y,9.42,9.6,9.03,7.8,61.8,-0.371,0.046,-0.273,,,1.76,7.36,7.13,6.5,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21%
CertainTeed,Apollo Tile II - 70x,"70 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,70,61.0,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.54,14,1,Y,9.42,9.6,9.03,7.8,57.0,-0.371,0.046,-0.273,,,1.76,7.36,7.14,6.7,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96%
CertainTeed,Apollo II - 71x,"71 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,71,60.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.53,14,1,Y,9.46,9.6,9.09,7.8,61.8,-0.371,0.046,-0.273,,,1.77,7.41,7.18,6.6,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40%
CertainTeed,Apollo Tile II - 71x,"71 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,71,61.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.54,14,1,Y,9.46,9.6,9.09,7.8,57.0,-0.371,0.046,-0.273,,,1.77,7.41,7.18,6.7,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15%
CertainTeed,Apollo II - 72x,"72 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,72,61.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.53,14,1,Y,9.49,9.7,9.14,7.9,61.8,-0.371,0.046,-0.273,,,1.78,7.47,7.22,6.6,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.58%
CertainTeed,Apollo Tile II - 72x,"72 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,72,62.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.54,14,1,Y,9.49,9.7,9.14,7.9,57.0,-0.371,0.046,-0.273,,,1.78,7.47,7.22,6.8,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33%
CertainTeed,Apollo II - 73x,"73 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,73,62.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.53,14,1,Y,9.53,9.8,9.19,7.9,61.8,-0.371,0.046,-0.273,,,1.79,7.52,7.26,6.7,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.77%
CertainTeed,Apollo Tile II - 73x,"73 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,73,63.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.54,14,1,Y,9.53,9.8,9.19,7.9,57.0,-0.371,0.046,-0.273,,,1.79,7.52,7.27,6.8,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52%
