Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5731390.243602155,0.0,10743966.088407002,0.0
 01/01  00:20:00,5808874.877301236,0.0,10866689.153843235,0.0
 01/01  00:30:00,5890295.590299344,0.0,10993706.083426988,0.0
 01/01  00:40:00,5971945.463329416,0.0,11121122.12788547,0.0
 01/01  00:50:00,6053791.650799409,0.0,11248535.388846086,0.0
 01/01  01:00:00,6135972.874537122,0.0,11375873.85295996,0.0
 01/01  01:10:00,6309892.679669671,0.0,11656781.104029888,0.0
 01/01  01:20:00,6486488.477580409,0.0,11941330.209894016,0.0
 01/01  01:30:00,6664437.42435525,0.0,12227955.035909044,0.0
 01/01  01:40:00,6843464.943584652,0.0,12516284.419462623,0.0
 01/01  01:50:00,7023469.221762675,0.0,12806131.914597826,0.0
 01/01  02:00:00,7204399.369916451,0.0,13097393.406638876,0.0
 01/01  02:10:00,7345252.927392099,0.0,13324841.648357512,0.0
 01/01  02:20:00,7485459.646467081,0.0,13551470.815584451,0.0
 01/01  02:30:00,7625794.114960346,0.0,13778212.145301426,0.0
 01/01  02:40:00,7766492.6350002475,0.0,14005399.674256874,0.0
 01/01  02:50:00,7909081.987681643,0.0,14232414.413688485,0.0
 01/01  03:00:00,8050758.585956519,0.0,14460529.192112425,0.0
 01/01  03:10:00,8143385.075806367,0.0,14610743.771799497,0.0
 01/01  03:20:00,8233522.61977619,0.0,14758130.540196497,0.0
 01/01  03:30:00,8323100.302076879,0.0,14904705.537618734,0.0
 01/01  03:40:00,8412555.612436939,0.0,15051025.803480571,0.0
 01/01  03:50:00,8502018.927922344,0.0,15197285.763660623,0.0
 01/01  04:00:00,8591539.362751434,0.0,15343573.691940509,0.0
 01/01  04:10:00,8656408.95530942,0.0,15450922.926079847,0.0
 01/01  04:20:00,8720999.463984948,0.0,15557613.032538805,0.0
 01/01  04:30:00,8785465.022412475,0.0,15664034.897921357,0.0
 01/01  04:40:00,8849876.713447304,0.0,15770312.003120074,0.0
 01/01  04:50:00,8914271.31149156,0.0,15876510.201133193,0.0
 01/01  05:00:00,8978667.779535886,0.0,15982667.84450313,0.0
 01/01  05:10:00,9042312.143062046,0.0,16088069.666416252,0.0
 01/01  05:20:00,9105918.545247529,0.0,16193371.450593773,0.0
 01/01  05:30:00,9169512.88798734,0.0,16298627.58836661,0.0
 01/01  05:40:00,9233108.100659892,0.0,16403856.28646409,0.0
 01/01  05:50:00,9296711.53495024,0.0,16509066.8284684,0.0
 01/01  06:00:00,9360327.646373842,0.0,16614264.32263338,0.0
 01/01  06:10:00,9351088.346020209,0.0,16606606.996648785,0.0
 01/01  06:20:00,9340687.854953786,0.0,16596564.569859456,0.0
 01/01  06:30:00,9329593.358870495,0.0,16585435.431486394,0.0
 01/01  06:40:00,9318045.374217635,0.0,16573409.148647595,0.0
 01/01  06:50:00,9306164.391749922,0.0,16560719.834251652,0.0
 01/01  07:00:00,9294008.904942233,0.0,16547477.33765582,0.0
 01/01  07:10:00,9324191.951544506,0.0,16599909.596757215,0.0
 01/01  07:20:00,9355341.15775604,0.0,16654035.551379155,0.0
 01/01  07:30:00,9386507.493762074,0.0,16708227.071288804,0.0
 01/01  07:40:00,9417599.207741307,0.0,16762257.608605845,0.0
 01/01  07:50:00,9289814.444353322,0.0,16620652.00672803,0.0
 01/01  08:00:00,9229523.26227604,0.0,16542065.846790211,0.0
 01/01  08:10:00,9182684.08513118,0.0,16479165.881414937,0.0
 01/01  08:20:00,9153343.239892637,0.0,16437347.741346078,0.0
 01/01  08:30:00,9128395.175345346,0.0,16401559.213903282,0.0
 01/01  08:40:00,8941283.37972625,0.0,16160348.777364813,0.0
 01/01  08:50:00,8762197.388207521,0.0,15903484.447115693,0.0
 01/01  09:00:00,8592547.255586583,0.0,15648100.467151247,0.0
 01/01  09:10:00,8193664.718928356,0.0,15034990.175512293,0.0
 01/01  09:20:00,7845672.039842845,0.0,14469587.966946568,0.0
 01/01  09:30:00,7521545.407533221,0.0,13930016.12720874,0.0
 01/01  09:40:00,7244144.628222154,0.0,13444184.168905223,0.0
 01/01  09:50:00,6972254.4798590755,0.0,12981702.902035804,0.0
 01/01  10:00:00,6701699.91842189,0.0,12532576.027490335,0.0
 01/01  10:10:00,6433062.821918157,0.0,12095915.494698163,0.0
 01/01  10:20:00,6113628.138334633,0.0,11603965.805017069,0.0
 01/01  10:30:00,5844093.495728456,0.0,11158876.512752317,0.0
 01/01  10:40:00,5627906.557712149,0.0,10772655.723933976,0.0
 01/01  10:50:00,5423754.123299903,0.0,10413394.50190421,0.0
 01/01  11:00:00,5217415.714047402,0.0,10069470.421863874,0.0
 01/01  11:10:00,5012378.428182413,0.0,9737255.095177956,0.0
 01/01  11:20:00,4810703.682313055,0.0,9405213.460488029,0.0
 01/01  11:30:00,4613019.879192395,0.0,9065610.343574462,0.0
 01/01  11:40:00,4476431.409944155,0.0,8806949.259145394,0.0
 01/01  11:50:00,4320467.167020563,0.0,8534575.87191754,0.0
 01/01  12:00:00,4155502.660348958,0.0,8249638.606717736,0.0
 01/01  12:10:00,4097038.6423262088,0.0,8140847.289746279,0.0
 01/01  12:20:00,4036653.1849505375,0.0,8032648.00310377,0.0
 01/01  12:30:00,3987133.268960643,0.0,7937403.087285991,0.0
 01/01  12:40:00,3953191.904899465,0.0,7865068.623601036,0.0
 01/01  12:50:00,3908756.1378946537,0.0,7779119.971937721,0.0
 01/01  13:00:00,3863381.892030889,0.0,7690368.613236913,0.0
 01/01  13:10:00,3828182.2920577987,0.0,7615664.247186294,0.0
 01/01  13:20:00,3792571.4922483303,0.0,7542466.459708527,0.0
 01/01  13:30:00,3759612.692529726,0.0,7473179.615238359,0.0
 01/01  13:40:00,3744291.015396049,0.0,7428447.224527039,0.0
 01/01  13:50:00,3738690.802580035,0.0,7399864.291707756,0.0
 01/01  14:00:00,3740472.0939735393,0.0,7384480.413996044,0.0
 01/01  14:10:00,3741585.717288651,0.0,7371974.537743336,0.0
 01/01  14:20:00,3748126.730367485,0.0,7370728.168174014,0.0
 01/01  14:30:00,3793141.2719795983,0.0,7423963.9922975395,0.0
 01/01  14:40:00,3817790.192864633,0.0,7456304.740231012,0.0
 01/01  14:50:00,3839794.273341752,0.0,7484964.092520588,0.0
 01/01  15:00:00,3865179.332061534,0.0,7518614.822307113,0.0
 01/01  15:10:00,3951655.0987543655,0.0,7646894.8852711655,0.0
 01/01  15:20:00,4044278.4981514513,0.0,7786921.65625158,0.0
 01/01  15:30:00,4142379.4764587753,0.0,7936823.490339249,0.0
 01/01  15:40:00,4231563.620422929,0.0,8076828.009291346,0.0
 01/01  15:50:00,4320785.0330325635,0.0,8216255.345900513,0.0
 01/01  16:00:00,4412298.710032579,0.0,8358803.385770146,0.0
 01/01  16:10:00,4501188.892419581,0.0,8498566.343786392,0.0
 01/01  16:20:00,4585855.437547745,0.0,8631056.34673989,0.0
 01/01  16:30:00,4676494.8455987265,0.0,8755540.022905504,0.0
