Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5069975.479103539,0.0,10257090.141936056,0.0
 01/01  00:20:00,5162346.683777097,0.0,10393244.704042237,0.0
 01/01  00:30:00,5254107.411129032,0.0,10530530.380113065,0.0
 01/01  00:40:00,5347033.308049691,0.0,10668012.233877584,0.0
 01/01  00:50:00,5440028.387013808,0.0,10805347.417340288,0.0
 01/01  01:00:00,5533119.090497897,0.0,10942159.4642816,0.0
 01/01  01:10:00,5715922.0640775645,0.0,11230751.16795041,0.0
 01/01  01:20:00,5900639.247456449,0.0,11522360.393774064,0.0
 01/01  01:30:00,6086524.792060095,0.0,11815768.56841135,0.0
 01/01  01:40:00,6273337.584930051,0.0,12110530.311189618,0.0
 01/01  01:50:00,6461053.883367775,0.0,12406654.85411252,0.0
 01/01  02:00:00,6649637.107531307,0.0,12704089.265787272,0.0
 01/01  02:10:00,6797860.820841606,0.0,12937049.24404662,0.0
 01/01  02:20:00,6945258.708727666,0.0,13169141.71387044,0.0
 01/01  02:30:00,7092753.969811893,0.0,13401489.784809101,0.0
 01/01  02:40:00,7240525.156555747,0.0,13634270.508781077,0.0
 01/01  02:50:00,7388657.479083933,0.0,13867615.593505088,0.0
 01/01  03:00:00,7537169.898158033,0.0,14101571.861984096,0.0
 01/01  03:10:00,7637111.809403303,0.0,14258137.469575536,0.0
 01/01  03:20:00,7734463.725895509,0.0,14411858.692006696,0.0
 01/01  03:30:00,7831143.844184,0.0,14564728.330263797,0.0
 01/01  03:40:00,7927566.939499441,0.0,14717282.934441764,0.0
 01/01  03:50:00,8023858.892204375,0.0,14869709.8213078,0.0
 01/01  04:00:00,8120068.216443137,0.0,15022094.339620493,0.0
 01/01  04:10:00,8191526.419257093,0.0,15135497.836637115,0.0
 01/01  04:20:00,8262539.824262827,0.0,15248157.68058701,0.0
 01/01  04:30:00,8333275.305980298,0.0,15360470.903009685,0.0
 01/01  04:40:00,8403806.44958903,0.0,15472562.482087322,0.0
 01/01  04:50:00,8474170.985825086,0.0,15584498.77241394,0.0
 01/01  05:00:00,8544387.77832718,0.0,15696318.577328645,0.0
 01/01  05:10:00,8613588.883823536,0.0,15807211.27186715,0.0
 01/01  05:20:00,8682589.845283644,0.0,15917917.058923796,0.0
 01/01  05:30:00,8751418.713956242,0.0,16028497.589878274,0.0
 01/01  05:40:00,8820087.385148803,0.0,16138973.743896456,0.0
 01/01  05:50:00,8888600.654869977,0.0,16249356.479714585,0.0
 01/01  06:00:00,8956959.235829664,0.0,16359652.202059964,0.0
 01/01  06:10:00,8951358.555438006,0.0,16356124.384079617,0.0
 01/01  06:20:00,8944318.220636481,0.0,16349933.030791258,0.0
 01/01  06:30:00,8936364.15522026,0.0,16342396.716566412,0.0
 01/01  06:40:00,8927757.435421694,0.0,16333908.570685225,0.0
 01/01  06:50:00,8918628.302526876,0.0,16324664.504041336,0.0
 01/01  07:00:00,8909038.958935361,0.0,16314770.16438135,0.0
 01/01  07:10:00,8941758.712036375,0.0,16370675.904403567,0.0
 01/01  07:20:00,8975263.740484156,0.0,16428274.351450143,0.0
 01/01  07:30:00,9008649.235467982,0.0,16485925.071606848,0.0
 01/01  07:40:00,9041756.138327293,0.0,16543359.865404207,0.0
 01/01  07:50:00,8893498.33207487,0.0,16375315.90400443,0.0
 01/01  08:00:00,8815467.20777223,0.0,16272873.70341626,0.0
 01/01  08:10:00,8751913.356332695,0.0,16186852.424294012,0.0
 01/01  08:20:00,8707730.18630865,0.0,16123693.859092439,0.0
 01/01  08:30:00,8670319.590963252,0.0,16070092.836302236,0.0
 01/01  08:40:00,8422390.951773291,0.0,15751891.964360999,0.0
 01/01  08:50:00,8171557.71798522,0.0,15404172.308829905,0.0
 01/01  09:00:00,7920989.702160712,0.0,15047719.8706605,0.0
 01/01  09:10:00,7411122.226703584,0.0,14297059.793519368,0.0
 01/01  09:20:00,6963477.444513131,0.0,13604484.84355313,0.0
 01/01  09:30:00,6553102.406081062,0.0,12942977.076951303,0.0
 01/01  09:40:00,6241600.4117755,0.0,12352501.993753474,0.0
 01/01  09:50:00,5892925.385262955,0.0,11800179.95799332,0.0
 01/01  10:00:00,5525893.494137776,0.0,11290693.469012987,0.0
 01/01  10:10:00,5147532.4521562075,0.0,10717096.724994773,0.0
 01/01  10:20:00,4656036.029543815,0.0,9968241.996491063,0.0
 01/01  10:30:00,4214010.14464531,0.0,9266237.437736344,0.0
 01/01  10:40:00,3844445.454324308,0.0,8668744.364822743,0.0
 01/01  10:50:00,3496331.8763814587,0.0,8130960.767827932,0.0
 01/01  11:00:00,3157080.331296796,0.0,7628126.65463639,0.0
 01/01  11:10:00,2823216.978705804,0.0,7097544.10464662,0.0
 01/01  11:20:00,2497802.2462118096,0.0,6571536.145505,0.0
 01/01  11:30:00,2177376.296535451,0.0,6053576.022547375,0.0
 01/01  11:40:00,2048321.4144074032,0.0,5768747.775997678,0.0
 01/01  11:50:00,1871676.619672958,0.0,5458488.157022582,0.0
 01/01  12:00:00,1681983.8928359197,0.0,5141890.204762293,0.0
 01/01  12:10:00,1603416.5372324092,0.0,5006427.265953686,0.0
 01/01  12:20:00,1527274.905746799,0.0,4877215.587276245,0.0
 01/01  12:30:00,1529387.9639357454,0.0,4840551.34375094,0.0
 01/01  12:40:00,1531664.9627988439,0.0,4808869.737763841,0.0
 01/01  12:50:00,1514039.3028014621,0.0,4756749.454063713,0.0
 01/01  13:00:00,1496322.859644639,0.0,4704802.147494836,0.0
 01/01  13:10:00,1488630.2530944424,0.0,4668243.409843344,0.0
 01/01  13:20:00,1484612.8092056878,0.0,4636655.536516982,0.0
 01/01  13:30:00,1484567.309705686,0.0,4611171.087945857,0.0
 01/01  13:40:00,1531793.181856881,0.0,4644323.142264189,0.0
 01/01  13:50:00,1599021.8102568365,0.0,4709474.242343722,0.0
 01/01  14:00:00,1677655.2261235933,0.0,4794307.656848832,0.0
 01/01  14:10:00,1759270.5934687525,0.0,4884565.899504096,0.0
 01/01  14:20:00,1844782.843112259,0.0,4983700.755062628,0.0
 01/01  14:30:00,2012904.3233278997,0.0,5188395.076919686,0.0
 01/01  14:40:00,2111122.5913454345,0.0,5316055.361099973,0.0
 01/01  14:50:00,2187281.9268156793,0.0,5425728.878159041,0.0
 01/01  15:00:00,2265303.5302726612,0.0,5536853.841273672,0.0
 01/01  15:10:00,2408494.072372105,0.0,5737860.824346314,0.0
 01/01  15:20:00,2562306.1314835837,0.0,5946448.418000003,0.0
 01/01  15:30:00,2724090.2357748807,0.0,6157498.93919372,0.0
 01/01  15:40:00,2870090.5575012793,0.0,6364764.25043944,0.0
 01/01  15:50:00,3013694.8400894585,0.0,6583253.292098647,0.0
 01/01  16:00:00,3160144.7433202122,0.0,6805458.288896681,0.0
 01/01  16:10:00,3303504.6016966784,0.0,7027679.194012527,0.0
 01/01  16:20:00,3441249.713632573,0.0,7245376.676354068,0.0
 01/01  16:30:00,3577287.313775025,0.0,7462755.362786952,0.0
 01/01  16:40:00,3672232.1541879876,0.0,7629074.978853167,0.0
 01/01  16:50:00,3753986.968032896,0.0,7773848.041843448,0.0
 01/01  17:00:00,3831904.4657599223,0.0,7909372.347157625,0.0
 01/01  17:10:00,3904781.2425486688,0.0,8038328.128894565,0.0
 01/01  17:20:00,3975651.260260372,0.0,8163488.237081165,0.0
 01/01  17:30:00,4050946.33446734,0.0,8293107.207809015,0.0
 01/01  17:40:00,4100354.811758879,0.0,8388793.46473397,0.0
 01/01  17:50:00,4141784.167149662,0.0,8471077.185540948,0.0
 01/01  18:00:00,4180117.1723350124,0.0,8546904.9925514,0.0
 01/01  18:10:00,4223300.7333637625,0.0,8629385.93485631,0.0
 01/01  18:20:00,4264967.010616856,0.0,8708975.861982174,0.0
 01/01  18:30:00,4305456.074600098,0.0,8786351.124997592,0.0
 01/01  18:40:00,4344902.595988486,0.0,8861621.669637213,0.0
 01/01  18:50:00,4383422.062815392,0.0,8934860.95150089,0.0
 01/01  19:00:00,4421108.553932722,0.0,9006050.829147518,0.0
 01/01  19:10:00,4447681.50222537,0.0,9059529.622977328,0.0
 01/01  19:20:00,4473971.064154381,0.0,9111343.533481224,0.0
 01/01  19:30:00,4499446.416375089,0.0,9159557.742051207,0.0
 01/01  19:40:00,4524305.685932145,0.0,9198884.003294531,0.0
 01/01  19:50:00,4548578.488747262,0.0,9243139.052207967,0.0
 01/01  20:00:00,4572305.766719772,0.0,9287666.137809575,0.0
 01/01  20:10:00,4604676.946199762,0.0,9347510.073869582,0.0
 01/01  20:20:00,4636448.121008205,0.0,9406502.231900807,0.0
 01/01  20:30:00,4667538.439671335,0.0,9465633.486690072,0.0
 01/01  20:40:00,4698107.095264157,0.0,9524768.17056485,0.0
 01/01  20:50:00,4728139.981742027,0.0,9583813.22718983,0.0
 01/01  21:00:00,4757030.132193213,0.0,9642756.383726168,0.0
 01/01  21:10:00,4767462.551380824,0.0,9672666.81264063,0.0
 01/01  21:20:00,4778972.161075363,0.0,9702936.974818043,0.0
 01/01  21:30:00,4792613.524745397,0.0,9732926.023313498,0.0
 01/01  21:40:00,4806358.975425013,0.0,9762630.37080683,0.0
 01/01  21:50:00,4820190.692468345,0.0,9791966.245367624,0.0
